Model	LOGO	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
OTX2_HUMAN.H11MO.0.A		OTX2	11	A	Paired-related HD factors{3.1.3}	5015	OTX2_HUMAN
OVOL1_HUMAN.H11MO.0.C		OVOL1	9	C	More than 3 adjacent zinc finger factors{2.3.3}	5017	OVOL1_HUMAN
OZF_HUMAN.H11MO.0.C		ZNF146	24	C	More than 3 adjacent zinc finger factors{2.3.3}	7705	OZF_HUMAN
P53_HUMAN.H11MO.0.A		TP53	20	A	p53-related factors{6.3.1}	7157	P53_HUMAN
P63_HUMAN.H11MO.0.A		TP63	19	A	p53-related factors{6.3.1}	8626	P63_HUMAN
P73_HUMAN.H11MO.0.A		TP73	19	A	p53-related factors{6.3.1}	7161	P73_HUMAN
PATZ1_HUMAN.H11MO.0.C		PATZ1	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	23598	PATZ1_HUMAN
PAX5_HUMAN.H11MO.0.A		PAX5	21	A	Paired domain only{3.2.2}	5079	PAX5_HUMAN
PAX6_HUMAN.H11MO.0.C		PAX6	12	C	Paired plus homeo domain{3.2.1}	5080	PAX6_HUMAN
PBX1_HUMAN.H11MO.0.A		PBX1	10	A	TALE-type homeo domain factors{3.1.4}	5087	PBX1_HUMAN
PBX2_HUMAN.H11MO.0.C		PBX2	15	C	TALE-type homeo domain factors{3.1.4}	5089	PBX2_HUMAN
PBX3_HUMAN.H11MO.0.A		PBX3	11	A	TALE-type homeo domain factors{3.1.4}	5090	PBX3_HUMAN
PDX1_HUMAN.H11MO.0.A		PDX1	9	A	HOX-related factors{3.1.1}	3651	PDX1_HUMAN
PEBB_HUMAN.H11MO.0.C		CBFB	11	C		865	PEBB_HUMAN
PIT1_HUMAN.H11MO.0.C		POU1F1	13	C	POU domain factors{3.1.10}	5449	PIT1_HUMAN
PKNX1_HUMAN.H11MO.0.B		PKNOX1	11	B	TALE-type homeo domain factors{3.1.4}	5316	PKNX1_HUMAN
PO2F1_HUMAN.H11MO.0.C		POU2F1	16	C	POU domain factors{3.1.10}	5451	PO2F1_HUMAN
PO2F2_HUMAN.H11MO.0.A		POU2F2	11	A	POU domain factors{3.1.10}	5452	PO2F2_HUMAN
PO3F1_HUMAN.H11MO.0.C		POU3F1	14	C	POU domain factors{3.1.10}	5453	PO3F1_HUMAN
PO3F2_HUMAN.H11MO.0.A		POU3F2	17	A	POU domain factors{3.1.10}	5454	PO3F2_HUMAN
PO5F1_HUMAN.H11MO.0.A		POU5F1	16	A	POU domain factors{3.1.10}	5460	PO5F1_HUMAN
PPARA_HUMAN.H11MO.0.B		PPARA	17	B	Thyroid hormone receptor-related factors (NR1){2.1.2}	5465	PPARA_HUMAN
PPARG_HUMAN.H11MO.0.A		PPARG	17	A	Thyroid hormone receptor-related factors (NR1){2.1.2}	5468	PPARG_HUMAN
PRD14_HUMAN.H11MO.0.A		PRDM14	14	A	More than 3 adjacent zinc finger factors{2.3.3}	63978	PRD14_HUMAN
PRDM1_HUMAN.H11MO.0.A		PRDM1	14	A	More than 3 adjacent zinc finger factors{2.3.3}	639	PRDM1_HUMAN
PRDM6_HUMAN.H11MO.0.C		PRDM6	13	C	More than 3 adjacent zinc finger factors{2.3.3}	93166	PRDM6_HUMAN
PRGR_HUMAN.H11MO.0.A		PGR	16	A	Steroid hormone receptors (NR3){2.1.1}	5241	PRGR_HUMAN
PRRX2_HUMAN.H11MO.0.C		PRRX2	7	C	Paired-related HD factors{3.1.3}	51450	PRRX2_HUMAN
PTF1A_HUMAN.H11MO.0.B		PTF1A	18	B	Tal-related factors{1.2.3}	256297	PTF1A_HUMAN
RARA_HUMAN.H11MO.0.A		RARA	20	A	Thyroid hormone receptor-related factors (NR1){2.1.2}	5914	RARA_HUMAN
RARG_HUMAN.H11MO.0.B		RARG	18	B	Thyroid hormone receptor-related factors (NR1){2.1.2}	5916	RARG_HUMAN
RELB_HUMAN.H11MO.0.C		RELB	12	C	NF-kappaB-related factors{6.1.1}	5971	RELB_HUMAN
REL_HUMAN.H11MO.0.B		REL	15	B	NF-kappaB-related factors{6.1.1}	5966	REL_HUMAN
REST_HUMAN.H11MO.0.A		REST	22	A	Factors with multiple dispersed zinc fingers{2.3.4}	5978	REST_HUMAN
RFX1_HUMAN.H11MO.0.B		RFX1	22	B	RFX-related factors{3.3.3}	5989	RFX1_HUMAN
RFX2_HUMAN.H11MO.0.A		RFX2	18	A	RFX-related factors{3.3.3}	5990	RFX2_HUMAN
RFX3_HUMAN.H11MO.0.B		RFX3	14	B	RFX-related factors{3.3.3}	5991	RFX3_HUMAN
RFX5_HUMAN.H11MO.0.A		RFX5	20	A	RFX-related factors{3.3.3}	5993	RFX5_HUMAN
RORA_HUMAN.H11MO.0.C		RORA	13	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	6095	RORA_HUMAN
RORG_HUMAN.H11MO.0.C		RORC	12	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	6097	RORG_HUMAN
RUNX1_HUMAN.H11MO.0.A		RUNX1	11	A	Runt-related factors{6.4.1}	861	RUNX1_HUMAN
RUNX2_HUMAN.H11MO.0.A		RUNX2	14	A	Runt-related factors{6.4.1}	860	RUNX2_HUMAN
RUNX3_HUMAN.H11MO.0.A		RUNX3	10	A	Runt-related factors{6.4.1}	864	RUNX3_HUMAN
RXRA_HUMAN.H11MO.0.A		RXRA	20	A	RXR-related receptors (NR2){2.1.3}	6256	RXRA_HUMAN
RXRB_HUMAN.H11MO.0.C		RXRB	10	C	RXR-related receptors (NR2){2.1.3}	6257	RXRB_HUMAN
RXRG_HUMAN.H11MO.0.B		RXRG	13	B	RXR-related receptors (NR2){2.1.3}	6258	RXRG_HUMAN
SALL4_HUMAN.H11MO.0.B		SALL4	10	B	Factors with multiple dispersed zinc fingers{2.3.4}	57167	SALL4_HUMAN
SIX1_HUMAN.H11MO.0.A		SIX1	14	A	HD-SINE factors{3.1.6}	6495	SIX1_HUMAN
SIX2_HUMAN.H11MO.0.A		SIX2	13	A	HD-SINE factors{3.1.6}	10736	SIX2_HUMAN
SMAD2_HUMAN.H11MO.0.A		SMAD2	12	A	SMAD factors{7.1.1}	4087	SMAD2_HUMAN
SMAD3_HUMAN.H11MO.0.B		SMAD3	12	B	SMAD factors{7.1.1}	4088	SMAD3_HUMAN
SMAD4_HUMAN.H11MO.0.B		SMAD4	13	B	SMAD factors{7.1.1}	4089	SMAD4_HUMAN
SMCA1_HUMAN.H11MO.0.C		SMARCA1	12	C	Myb/SANT domain factors{3.5.1}	6594	SMCA1_HUMAN
SMCA5_HUMAN.H11MO.0.C		SMARCA5	15	C	Myb/SANT domain factors{3.5.1}	8467	SMCA5_HUMAN
SNAI1_HUMAN.H11MO.0.C		SNAI1	8	C	More than 3 adjacent zinc finger factors{2.3.3}	6615	SNAI1_HUMAN
SNAI2_HUMAN.H11MO.0.A		SNAI2	10	A	More than 3 adjacent zinc finger factors{2.3.3}	6591	SNAI2_HUMAN
SOX10_HUMAN.H11MO.0.B		SOX10	16	B	SOX-related factors{4.1.1}	6663	SOX10_HUMAN
SOX17_HUMAN.H11MO.0.C		SOX17	11	C	SOX-related factors{4.1.1}	64321	SOX17_HUMAN
SOX2_HUMAN.H11MO.0.A		SOX2	13	A	SOX-related factors{4.1.1}	6657	SOX2_HUMAN
SOX3_HUMAN.H11MO.0.B		SOX3	11	B	SOX-related factors{4.1.1}	6658	SOX3_HUMAN
SOX4_HUMAN.H11MO.0.B		SOX4	12	B	SOX-related factors{4.1.1}	6659	SOX4_HUMAN
SOX5_HUMAN.H11MO.0.C		SOX5	8	C	SOX-related factors{4.1.1}	6660	SOX5_HUMAN
SOX9_HUMAN.H11MO.0.B		SOX9	16	B	SOX-related factors{4.1.1}	6662	SOX9_HUMAN
SP1_HUMAN.H11MO.0.A		SP1	22	A	Three-zinc finger Krüppel-related factors{2.3.1}	6667	SP1_HUMAN
SP2_HUMAN.H11MO.0.A		SP2	22	A	Three-zinc finger Krüppel-related factors{2.3.1}	6668	SP2_HUMAN
SP3_HUMAN.H11MO.0.B		SP3	20	B	Three-zinc finger Krüppel-related factors{2.3.1}	6670	SP3_HUMAN
SP4_HUMAN.H11MO.0.A		SP4	20	A	Three-zinc finger Krüppel-related factors{2.3.1}	6671	SP4_HUMAN
SPI1_HUMAN.H11MO.0.A		SPI1	17	A	Ets-related factors{3.5.2}	6688	SPI1_HUMAN
SPIB_HUMAN.H11MO.0.A		SPIB	17	A	Ets-related factors{3.5.2}	6689	SPIB_HUMAN
SRBP1_HUMAN.H11MO.0.A		SREBF1	11	A	bHLH-ZIP factors{1.2.6}	6720	SRBP1_HUMAN
SRBP2_HUMAN.H11MO.0.B		SREBF2	13	B	bHLH-ZIP factors{1.2.6}	6721	SRBP2_HUMAN
SRF_HUMAN.H11MO.0.A		SRF	18	A	Responders to external signals (SRF/RLM1){5.1.2}	6722	SRF_HUMAN
SRY_HUMAN.H11MO.0.B		SRY	9	B	SOX-related factors{4.1.1}	6736	SRY_HUMAN
STA5A_HUMAN.H11MO.0.A		STAT5A	10	A	STAT factors{6.2.1}	6776	STA5A_HUMAN
STA5B_HUMAN.H11MO.0.A		STAT5B	12	A	STAT factors{6.2.1}	6777	STA5B_HUMAN
STAT1_HUMAN.H11MO.0.A		STAT1	19	A	STAT factors{6.2.1}	6772	STAT1_HUMAN
STAT2_HUMAN.H11MO.0.A		STAT2	19	A	STAT factors{6.2.1}	6773	STAT2_HUMAN
STAT3_HUMAN.H11MO.0.A		STAT3	12	A	STAT factors{6.2.1}	6774	STAT3_HUMAN
STAT4_HUMAN.H11MO.0.A		STAT4	11	A	STAT factors{6.2.1}	6775	STAT4_HUMAN
STAT6_HUMAN.H11MO.0.B		STAT6	11	B	STAT factors{6.2.1}	6778	STAT6_HUMAN
STF1_HUMAN.H11MO.0.B		NR5A1	11	B	FTZ-F1-related receptors (NR5){2.1.5}	2516	STF1_HUMAN
SUH_HUMAN.H11MO.0.A		RBPJ	11	A	CSL-related factors{6.1.4}	3516	SUH_HUMAN
TAF1_HUMAN.H11MO.0.A		TAF1	16	A	TCF-7-related factors{4.1.3}	6872	TAF1_HUMAN
TAL1_HUMAN.H11MO.0.A		TAL1	19	A	Tal-related factors{1.2.3}	6886	TAL1_HUMAN
TBP_HUMAN.H11MO.0.A		TBP	10	A	TBP-related factors{8.1.1}	6908	TBP_HUMAN
TBX21_HUMAN.H11MO.0.A		TBX21	13	A	TBrain-related factors{6.5.2}	30009	TBX21_HUMAN
TBX3_HUMAN.H11MO.0.C		TBX3	11	C	TBX2-related factors{6.5.4}	6926	TBX3_HUMAN
TCF7_HUMAN.H11MO.0.A		TCF7	16	A	TCF-7-related factors{4.1.3}	6932	TCF7_HUMAN
TEAD1_HUMAN.H11MO.0.A		TEAD1	12	A	TEF-1-related factors{3.6.1}	7003	TEAD1_HUMAN
TEAD4_HUMAN.H11MO.0.A		TEAD4	13	A	TEF-1-related factors{3.6.1}	7004	TEAD4_HUMAN
TF65_HUMAN.H11MO.0.A		RELA	14	A	NF-kappaB-related factors{6.1.1}	5970	TF65_HUMAN
TF7L1_HUMAN.H11MO.0.B		TCF7L1	13	B	TCF-7-related factors{4.1.3}	83439	TF7L1_HUMAN
TF7L2_HUMAN.H11MO.0.A		TCF7L2	13	A	TCF-7-related factors{4.1.3}	6934	TF7L2_HUMAN
TFAP4_HUMAN.H11MO.0.A		TFAP4	10	A	bHLH-ZIP factors{1.2.6}	7023	TFAP4_HUMAN
TFDP1_HUMAN.H11MO.0.C		TFDP1	14	C	E2F-related factors{3.3.2}	7027	TFDP1_HUMAN
TFE2_HUMAN.H11MO.0.A		TCF3	11	A	E2A-related factors{1.2.1}	6929	TFE2_HUMAN
TFE3_HUMAN.H11MO.0.B		TFE3	10	B	bHLH-ZIP factors{1.2.6}	7030	TFE3_HUMAN
TFEB_HUMAN.H11MO.0.C		TFEB	9	C	bHLH-ZIP factors{1.2.6}	7942	TFEB_HUMAN
TGIF1_HUMAN.H11MO.0.A		TGIF1	7	A	TALE-type homeo domain factors{3.1.4}	7050	TGIF1_HUMAN
THA11_HUMAN.H11MO.0.B		THAP11	22	B	THAP-related factors{2.9.1}	57215	THA11_HUMAN
THAP1_HUMAN.H11MO.0.C		THAP1	22	C	THAP-related factors{2.9.1}	55145	THAP1_HUMAN
THA_HUMAN.H11MO.0.C		THRA	17	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	7067	THA_HUMAN
THB_HUMAN.H11MO.0.C		THRB	17	C	Thyroid hormone receptor-related factors (NR1){2.1.2}	7068	THB_HUMAN
TWST1_HUMAN.H11MO.0.A		TWIST1	17	A	Tal-related factors{1.2.3}	7291	TWST1_HUMAN
TYY1_HUMAN.H11MO.0.A		YY1	12	A	More than 3 adjacent zinc finger factors{2.3.3}	7528	TYY1_HUMAN
USF1_HUMAN.H11MO.0.A		USF1	12	A	bHLH-ZIP factors{1.2.6}	7391	USF1_HUMAN
USF2_HUMAN.H11MO.0.A		USF2	19	A	bHLH-ZIP factors{1.2.6}	7392	USF2_HUMAN
VDR_HUMAN.H11MO.0.A		VDR	16	A	Thyroid hormone receptor-related factors (NR1){2.1.2}	7421	VDR_HUMAN
VEZF1_HUMAN.H11MO.0.C		VEZF1	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	7716	VEZF1_HUMAN
WT1_HUMAN.H11MO.0.C		WT1	20	C	More than 3 adjacent zinc finger factors{2.3.3}	7490	WT1_HUMAN
Z324A_HUMAN.H11MO.0.C		ZNF324	23	C	More than 3 adjacent zinc finger factors{2.3.3}	25799	Z324A_HUMAN
Z354A_HUMAN.H11MO.0.C		ZNF354A	24	C	More than 3 adjacent zinc finger factors{2.3.3}	6940	Z354A_HUMAN
ZBT14_HUMAN.H11MO.0.C		ZBTB14	9	C	More than 3 adjacent zinc finger factors{2.3.3}	7541	ZBT14_HUMAN
ZBT17_HUMAN.H11MO.0.A		ZBTB17	19	A	Factors with multiple dispersed zinc fingers{2.3.4}	7709	ZBT17_HUMAN
ZBT18_HUMAN.H11MO.0.C		ZBTB18	11	C	More than 3 adjacent zinc finger factors{2.3.3}	10472	ZBT18_HUMAN
ZBT48_HUMAN.H11MO.0.C		ZBTB48	12	C	More than 3 adjacent zinc finger factors{2.3.3}	3104	ZBT48_HUMAN
ZBT7A_HUMAN.H11MO.0.A		ZBTB7A	9	A	More than 3 adjacent zinc finger factors{2.3.3}	51341	ZBT7A_HUMAN
ZBTB6_HUMAN.H11MO.0.C		ZBTB6	13	C	More than 3 adjacent zinc finger factors{2.3.3}	10773	ZBTB6_HUMAN
ZEB1_HUMAN.H11MO.0.A		ZEB1	10	A	HD-ZF factors{3.1.8}	6935	ZEB1_HUMAN
ZFP28_HUMAN.H11MO.0.C		ZFP28	20	C	More than 3 adjacent zinc finger factors{2.3.3}	140612	ZFP28_HUMAN
ZFP42_HUMAN.H11MO.0.A		ZFP42	12	A	More than 3 adjacent zinc finger factors{2.3.3}	132625	ZFP42_HUMAN
ZFP82_HUMAN.H11MO.0.C		ZFP82	24	C	More than 3 adjacent zinc finger factors{2.3.3}	284406	ZFP82_HUMAN
ZFX_HUMAN.H11MO.0.A		ZFX	10	A	More than 3 adjacent zinc finger factors{2.3.3}	7543	ZFX_HUMAN
ZIC1_HUMAN.H11MO.0.B		ZIC1	9	B	More than 3 adjacent zinc finger factors{2.3.3}	7545	ZIC1_HUMAN
ZIC3_HUMAN.H11MO.0.B		ZIC3	15	B	More than 3 adjacent zinc finger factors{2.3.3}	7547	ZIC3_HUMAN
ZIM3_HUMAN.H11MO.0.C		ZIM3	19	C	More than 3 adjacent zinc finger factors{2.3.3}	114026	ZIM3_HUMAN
ZKSC1_HUMAN.H11MO.0.B		ZKSCAN1	19	B	More than 3 adjacent zinc finger factors{2.3.3}	7586	ZKSC1_HUMAN
ZN121_HUMAN.H11MO.0.C		ZNF121	20	C	More than 3 adjacent zinc finger factors{2.3.3}	7675	ZN121_HUMAN
ZN134_HUMAN.H11MO.0.C		ZNF134	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	7693	ZN134_HUMAN
ZN136_HUMAN.H11MO.0.C		ZNF136	24	C	More than 3 adjacent zinc finger factors{2.3.3}	7695	ZN136_HUMAN
ZN140_HUMAN.H11MO.0.C		ZNF140	24	C	More than 3 adjacent zinc finger factors{2.3.3}	7699	ZN140_HUMAN
ZN143_HUMAN.H11MO.0.A		ZNF143	22	A	More than 3 adjacent zinc finger factors{2.3.3}	7702	ZN143_HUMAN
ZN214_HUMAN.H11MO.0.C		ZNF214	22	C	More than 3 adjacent zinc finger factors{2.3.3}	7761	ZN214_HUMAN
ZN250_HUMAN.H11MO.0.C		ZNF250	20	C	More than 3 adjacent zinc finger factors{2.3.3}	58500	ZN250_HUMAN
ZN257_HUMAN.H11MO.0.C		ZNF257	12	C	More than 3 adjacent zinc finger factors{2.3.3}	113835	ZN257_HUMAN
ZN260_HUMAN.H11MO.0.C		ZNF260	24	C	More than 3 adjacent zinc finger factors{2.3.3}	339324	ZN260_HUMAN
ZN263_HUMAN.H11MO.0.A		ZNF263	20	A	More than 3 adjacent zinc finger factors{2.3.3}	10127	ZN263_HUMAN
ZN264_HUMAN.H11MO.0.C		ZNF264	24	C	More than 3 adjacent zinc finger factors{2.3.3}	9422	ZN264_HUMAN
ZN274_HUMAN.H11MO.0.A		ZNF274	20	A	More than 3 adjacent zinc finger factors{2.3.3}	10782	ZN274_HUMAN
ZN281_HUMAN.H11MO.0.A		ZNF281	15	A	More than 3 adjacent zinc finger factors{2.3.3}	23528	ZN281_HUMAN
ZN317_HUMAN.H11MO.0.C		ZNF317	20	C	More than 3 adjacent zinc finger factors{2.3.3}	57693	ZN317_HUMAN
ZN320_HUMAN.H11MO.0.C		ZNF320	20	C	More than 3 adjacent zinc finger factors{2.3.3}	162967	ZN320_HUMAN
ZN322_HUMAN.H11MO.0.B		ZNF322	20	B	More than 3 adjacent zinc finger factors{2.3.3}	79692	ZN322_HUMAN
ZN329_HUMAN.H11MO.0.C		ZNF329	20	C	More than 3 adjacent zinc finger factors{2.3.3}	79673	ZN329_HUMAN
ZN331_HUMAN.H11MO.0.C		ZNF331	20	C	More than 3 adjacent zinc finger factors{2.3.3}	55422	ZN331_HUMAN
ZN335_HUMAN.H11MO.0.A		ZNF335	22	A	Factors with multiple dispersed zinc fingers{2.3.4}	63925	ZN335_HUMAN
ZN341_HUMAN.H11MO.0.C		ZNF341	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	84905	ZN341_HUMAN
ZN350_HUMAN.H11MO.0.C		ZNF350	18	C	More than 3 adjacent zinc finger factors{2.3.3}	59348	ZN350_HUMAN
ZN382_HUMAN.H11MO.0.C		ZNF382	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	84911	ZN382_HUMAN
ZN384_HUMAN.H11MO.0.C		ZNF384	12	C	More than 3 adjacent zinc finger factors{2.3.3}	171017	ZN384_HUMAN
ZN394_HUMAN.H11MO.0.C		ZNF394	20	C	More than 3 adjacent zinc finger factors{2.3.3}	84124	ZN394_HUMAN
ZN418_HUMAN.H11MO.0.C		ZNF418	17	C	Factors with multiple dispersed zinc fingers{2.3.4}	147686	ZN418_HUMAN
ZN436_HUMAN.H11MO.0.C		ZNF436	24	C	More than 3 adjacent zinc finger factors{2.3.3}	80818	ZN436_HUMAN
ZN449_HUMAN.H11MO.0.C		ZNF449	11	C	More than 3 adjacent zinc finger factors{2.3.3}	203523	ZN449_HUMAN
ZN467_HUMAN.H11MO.0.C		ZNF467	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	168544	ZN467_HUMAN
ZN490_HUMAN.H11MO.0.C		ZNF490	24	C	More than 3 adjacent zinc finger factors{2.3.3}	57474	ZN490_HUMAN
ZN502_HUMAN.H11MO.0.C		ZNF502	20	C	More than 3 adjacent zinc finger factors{2.3.3}	91392	ZN502_HUMAN
ZN528_HUMAN.H11MO.0.C		ZNF528	20	C	More than 3 adjacent zinc finger factors{2.3.3}	84436	ZN528_HUMAN
ZN547_HUMAN.H11MO.0.C		ZNF547	20	C	More than 3 adjacent zinc finger factors{2.3.3}	284306	ZN547_HUMAN
ZN549_HUMAN.H11MO.0.C		ZNF549	20	C	More than 3 adjacent zinc finger factors{2.3.3}	256051	ZN549_HUMAN
ZN554_HUMAN.H11MO.0.C		ZNF554	20	C	More than 3 adjacent zinc finger factors{2.3.3}	115196	ZN554_HUMAN
ZN563_HUMAN.H11MO.0.C		ZNF563	21	C	More than 3 adjacent zinc finger factors{2.3.3}	147837	ZN563_HUMAN
ZN582_HUMAN.H11MO.0.C		ZNF582	24	C	More than 3 adjacent zinc finger factors{2.3.3}	147948	ZN582_HUMAN
ZN586_HUMAN.H11MO.0.C		ZNF586	20	C	More than 3 adjacent zinc finger factors{2.3.3}	54807	ZN586_HUMAN
ZN667_HUMAN.H11MO.0.C		ZNF667	19	C	More than 3 adjacent zinc finger factors{2.3.3}	63934	ZN667_HUMAN
ZN680_HUMAN.H11MO.0.C		ZNF680	20	C	More than 3 adjacent zinc finger factors{2.3.3}	340252	ZN680_HUMAN
ZN708_HUMAN.H11MO.0.C		ZNF708	20	C	More than 3 adjacent zinc finger factors{2.3.3}	7562	ZN708_HUMAN
ZN768_HUMAN.H11MO.0.C		ZNF768	20	C	More than 3 adjacent zinc finger factors{2.3.3}	79724	ZN768_HUMAN
ZN770_HUMAN.H11MO.0.C		ZNF770	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	54989	ZN770_HUMAN
ZN816_HUMAN.H11MO.0.C		ZNF816	21	C	More than 3 adjacent zinc finger factors{2.3.3}	125893	ZN816_HUMAN
ZNF18_HUMAN.H11MO.0.C		ZNF18	12	C	More than 3 adjacent zinc finger factors{2.3.3}	7566	ZNF18_HUMAN
ZNF41_HUMAN.H11MO.0.C		ZNF41	24	C	More than 3 adjacent zinc finger factors{2.3.3}	7592	ZNF41_HUMAN
ZNF76_HUMAN.H11MO.0.C		ZNF76	22	C	More than 3 adjacent zinc finger factors{2.3.3}	7629	ZNF76_HUMAN
ZNF85_HUMAN.H11MO.0.C		ZNF85	20	C	More than 3 adjacent zinc finger factors{2.3.3}	7639	ZNF85_HUMAN
ZNF8_HUMAN.H11MO.0.C		ZNF8	22	C	Factors with multiple dispersed zinc fingers{2.3.4}	7554	ZNF8_HUMAN
ZSC22_HUMAN.H11MO.0.C		ZSCAN22	16	C	More than 3 adjacent zinc finger factors{2.3.3}	342945	ZSC22_HUMAN
ZSC31_HUMAN.H11MO.0.C		ZSCAN31	18	C	More than 3 adjacent zinc finger factors{2.3.3}	64288	ZSC31_HUMAN
